4039 0.92
2.94803 1.0826 0.44813
2.9489 1.0669 0.45166
2.94977 1.0522 0.45384
2.95055 1.0900 0.45362
2.95142 1.0741 0.45587
2.95229 1.0589 0.45811
2.95308 1.0974 0.45779
2.95395 1.0613 0.46244
2.95473 1.1010 0.46201
2.95561 1.0852 0.46433
2.95648 1.0698 0.46666
2.95727 1.1087 0.46620
2.95814 1.0922 0.46860
2.95902 1.0767 0.47098
2.95981 1.1158 0.47045
2.96068 1.0992 0.47290
2.96156 1.0835 0.47533
2.96235 1.1230 0.47471
2.96323 1.1063 0.47720
2.9641 1.0907 0.47967
2.9649 1.1318 0.47889
2.96577 1.0941 0.48123
2.96657 1.1345 0.48046
2.96745 1.1175 0.48304
2.96833 1.1013 0.48559
2.96912 1.1417 0.48477
2.97 1.1244 0.48741
2.97089 1.1084 0.48999
2.97168 1.1494 0.48907
2.97256 1.1319 0.49032
2.97345 1.1153 0.49297
2.97424 1.1560 0.49202
2.97513 1.1385 0.49474
2.97601 1.1225 0.49740
2.97681 1.1637 0.49491
2.9777 1.1454 0.49771
2.97858 1.1291 0.50042
2.97938 1.1714 0.49926
2.98027 1.1323 0.50349
2.98107 1.1752 0.50079
2.98196 1.1570 0.50365
2.98285 1.1404 0.50643
2.98365 1.1827 0.50519
2.98454 1.1646 0.50660
2.98543 1.1475 0.50944
2.98623 1.1896 0.50817
2.98713 1.1718 0.51107
2.98802 1.1550 0.51244
2.98882 1.1973 0.51111
2.98972 1.1790 0.51407
2.99061 1.1622 0.51546
2.99141 1.2045 0.51409
2.99231 1.1860 0.51710
2.99321 1.1696 0.52000
2.99401 1.2136 0.51694
2.99491 1.1724 0.52165
2.99572 1.2172 0.52003
2.99661 1.1987 0.52158
2.99751 1.1814 0.52457
2.99832 1.2251 0.52299
2.99922 1.2064 0.52458
3.00012 1.1889 0.52761
3.00093 1.2331 0.52595
3.00183 1.2141 0.52758
3.00273 1.1966 0.53065
3.00354 1.2410 0.52892
3.00445 1.2221 0.53057
3.00535 1.2048 0.53366
3.00616 1.2504 0.53179
3.00707 1.2087 0.53526
3.00788 1.2546 0.53335
3.00879 1.2358 0.53503
3.00969 1.2185 0.53816
3.01051 1.2630 0.53477
3.01141 1.2436 0.53806
3.01232 1.2267 0.54119
3.01314 1.2719 0.53769
3.01405 1.2527 0.54100
3.01495 1.2355 0.54260
3.01577 1.2808 0.54063
3.01668 1.2617 0.54238
3.01759 1.2446 0.54556
3.01841 1.2914 0.54186
3.01932 1.2485 0.54559
3.02014 1.2953 0.54345
3.02106 1.2762 0.54523
3.02197 1.2591 0.54844
3.02279 1.3052 0.54474
3.02371 1.2859 0.54655
3.02462 1.2680 0.54825
3.02544 1.3136 0.54614
3.02636 1.2943 0.54797
3.02728 1.2771 0.55122
3.0281 1.3235 0.54743
3.02902 1.3041 0.54927
3.02994 1.2865 0.55097
3.03076 1.3326 0.54877
3.03168 1.3137 0.55059
3.0326 1.2967 0.55224
3.03343 1.3438 0.54835
3.03435 1.3008 0.55224
3.03518 1.3478 0.54834
3.0361 1.3287 0.55179
3.03702 1.3120 0.55343
3.03785 1.3585 0.54954
3.03877 1.3392 0.55141
3.0397 1.3220 0.55310
3.04053 1.3683 0.54922
3.04146 1.3491 0.55109
3.04238 1.3320 0.55278
3.04321 1.3784 0.54886
3.04414 1.3595 0.55071
3.04507 1.3425 0.55079
3.0459 1.3891 0.54686
3.04683 1.3463 0.55081
3.04767 1.3937 0.54681
3.04859 1.3748 0.54866
3.04952 1.3581 0.55031
3.05036 1.4042 0.54482
3.05129 1.3846 0.54674
3.05222 1.3676 0.54842
3.05306 1.4139 0.54449
3.05399 1.3948 0.54479
3.05493 1.3780 0.54646
3.05577 1.4236 0.54101
3.0567 1.4043 0.54290
3.05764 1.3872 0.54303
3.05848 1.4324 0.53919
3.05941 1.4136 0.54104
3.06035 1.3971 0.54112
3.06119 1.4432 0.53719
3.06213 1.4015 0.53951
3.06297 1.4480 0.53555
3.06391 1.4296 0.53581
3.06485 1.4127 0.53595
3.0657 1.4574 0.53214
3.06664 1.4388 0.53244
3.06758 1.4218 0.53258
3.06843 1.4663 0.52880
3.06937 1.4477 0.52910
3.07031 1.4309 0.52924
3.07116 1.4752 0.52548
3.0721 1.4568 0.52576
3.07305 1.4407 0.52585
3.0739 1.4853 0.52056
3.07484 1.4441 0.52287
3.07569 1.4891 0.51905
3.07664 1.4711 0.51932
3.07759 1.4551 0.51941
3.07844 1.4984 0.51426
3.07939 1.4800 0.51458
3.08034 1.4638 0.51469
3.08119 1.5066 0.50960
3.08214 1.4883 0.50992
3.08309 1.4722 0.51004
3.08394 1.5146 0.50501
3.0849 1.4965 0.50532
3.08585 1.4808 0.50541
3.08671 1.5237 0.50035
3.08766 1.4846 0.50251
3.08852 1.5280 0.49742
3.08947 1.5101 0.49630
3.09043 1.4941 0.49643
3.09129 1.5351 0.49158
3.09224 1.5175 0.49188
3.0932 1.5023 0.49195
3.09406 1.5430 0.48574
3.09502 1.5250 0.48608
3.09598 1.5096 0.48619
3.09684 1.5502 0.48141
3.0978 1.5328 0.48033
3.09876 1.5173 0.48045
3.09962 1.5573 0.47575
3.10058 1.5401 0.47468
3.10154 1.5250 0.47478
3.10241 1.5655 0.47006
3.10337 1.5290 0.47068
3.10424 1.5685 0.46472
3.1052 1.5515 0.46501
3.10617 1.5370 0.46508
3.10704 1.5757 0.45922
3.108 1.5587 0.45821
3.10897 1.5439 0.45832
3.10984 1.5817 0.45258
3.11081 1.5652 0.45286
3.11177 1.5510 0.45163
3.11265 1.5879 0.44601
3.11362 1.5716 0.44628
3.11459 1.5576 0.44506
3.11546 1.5948 0.43946
3.11643 1.5602 0.44131
3.1173 1.5978 0.43569
3.11828 1.5820 0.43469
3.11925 1.5678 0.43353
3.12012 1.6032 0.42816
3.1211 1.5874 0.42842
3.12207 1.5739 0.42724
3.12295 1.6091 0.42191
3.12393 1.5935 0.42094
3.1249 1.5799 0.41981
3.12578 1.6143 0.41459
3.12676 1.5990 0.41363
3.12774 1.5856 0.41251
3.12862 1.6202 0.40731
3.1296 1.5879 0.40783
3.13048 1.6223 0.40267
3.13146 1.6073 0.40057
3.13244 1.5941 0.40066
3.13332 1.6269 0.39451
3.1343 1.6118 0.39363
3.13529 1.5987 0.39257
3.13617 1.6307 0.38769
3.13716 1.6162 0.38678
3.13814 1.6038 0.38569
3.13903 1.6352 0.37978
3.14001 1.6207 0.37890
3.141 1.6082 0.37786
3.14189 1.6389 0.37206
3.14288 1.6245 0.37120
3.14386 1.6122 0.37017
3.14475 1.6431 0.36549
3.14574 1.6139 0.36483
3.14663 1.6442 0.36022
3.14762 1.6309 0.35933
3.14861 1.6190 0.35725
3.14951 1.6479 0.35279
3.1505 1.6345 0.35088
3.15149 1.6227 0.34989
3.15239 1.6509 0.34448
3.15338 1.6377 0.34365
3.15438 1.6261 0.34164
3.15527 1.6537 0.33735
3.15627 1.6407 0.33550
3.15726 1.6296 0.33452
3.15816 1.6572 0.32925
3.15916 1.6303 0.32862
3.16006 1.6575 0.32442
3.16106 1.6450 0.32261
3.16206 1.6341 0.32166
3.16296 1.6602 0.31659
3.16396 1.6478 0.31481
3.16496 1.6368 0.31293
3.16586 1.6618 0.30897
3.16686 1.6500 0.30720
3.16787 1.6393 0.30533
3.16877 1.6636 0.30051
3.16977 1.6517 0.29973
3.17078 1.6416 0.29786
3.17168 1.6654 0.29311
3.17269 1.6537 0.29141
3.1737 1.6436 0.28960
3.1746 1.6669 0.28493
3.17561 1.6435 0.28520
3.17652 1.6670 0.28053
3.17753 1.6560 0.27885
3.17854 1.6463 0.27707
3.17945 1.6682 0.27258
3.18046 1.6572 0.27095
3.18147 1.6476 0.26920
3.18238 1.6689 0.26480
3.1834 1.6581 0.26320
3.18441 1.6486 0.26148
3.18532 1.6691 0.25719
3.18634 1.6589 0.25643
3.18735 1.6500 0.25385
3.18827 1.6702 0.24960
3.18928 1.6494 0.24895
3.1902 1.6695 0.24474
3.19122 1.6595 0.24318
3.19224 1.6507 0.24152
3.19315 1.6695 0.23745
3.19417 1.6597 0.23591
3.19519 1.6511 0.23427
3.19611 1.6694 0.23027
3.19714 1.6598 0.22875
3.19816 1.6516 0.22712
3.19908 1.6694 0.22319
3.2001 1.6600 0.22089
3.20113 1.6516 0.21931
3.20205 1.6686 0.21549
3.20307 1.6594 0.21401
3.2041 1.6516 0.21242
3.20503 1.6684 0.20864
3.20605 1.6510 0.20793
3.20698 1.6675 0.20342
3.20801 1.6586 0.20198
3.20904 1.6509 0.20044
3.20996 1.6663 0.19682
3.21099 1.6580 0.19536
3.21203 1.6506 0.19308
3.21295 1.6652 0.18956
3.21399 1.6569 0.18814
3.21502 1.6499 0.18661
3.21595 1.6640 0.18242
3.21699 1.6558 0.18103
3.21802 1.6488 0.17953
